id,parent_id,root
cqugeij,cqug16f,cqug16f
cqugeiu,cqugcqo,34gmmd
cqugeiv,34ds4p,34ds4p
cqugeiz,cqufdwi,cqufdwi
cqugej0,34glus,34glus
cqugejo,34gmww,34gmww
cqugejp,cqu7h5h,cqu7h5h
cqugejs,34gmug,34gmug
cqugekh,34dj1e,34dj1e
cqugekq,cqug79x,cqug79x
cqugekv,cqu5i3n,cqu5i3n
cqugekx,34gmys,34gmys
cqugel1,cqu8wui,cqu8wui
cqugelj,cqug9yu,cqudm89
cqugeln,cqugb7y,cqufzns
cqugelx,cqud94u,cqud94u
cqugely,34ffo5,34ffo5
cqugemh,34gc2u,34gc2u
cqugena,34g8nu,34g8nu
cqugenb,cqttban,cqttban
cqugenh,cquddnd,cquddnd
cqugeo3,34gmv6,34gmv6
cqugeo5,cqu6z3b,cqu6z3b
cqugeoj,cqudcl4,cqudcl4
cqugeon,34fyop,34fyop
cqugepb,34gm0l,34gm0l
cqugepl,cqu3row,cqu3row
cqugeps,34gbmn,34gbmn
cqugepu,34ggqp,34ggqp
cquger7,34gjax,34gjax
cqugerm,cquat1i,cquat1i
cqugero,cqu66vi,cqu66vi
cqugert,cquc88z,cquc88z
cqugerz,cqu5i3n,cqu5i3n
cqugesh,34douw,34douw
cqugest,cqu5s15,cqu5s15
cquget2,34ft7i,34ft7i
cqugetl,cqu53rz,cqu53rz
cqugetm,cque2se,cque2se
cqugets,cqufsf7,cqufsf7
cqugetx,34g8nu,34g8nu
cqugeuu,cquac8r,cquac8r
cqugev9,cquayz9,cquayz9
cqugevv,cqucrxy,cqucrxy
cqugew2,34ff1p,34ff1p
cqugewf,34dvbd,34dvbd
